ST	dinB	icdA	pabB	polB	putP	trpA	trpB	uidA
67	6	5	3	2	6	7	1	4
68	25	30	19	2	16	30	2	4
69	25	5	4	2	6	7	2	4
70	1	1	2	1	1	2	22	1
71	27	13	1	4	2	32	1	6
72	2	4	31	4	1	21	1	1
73	16	4	16	30	4	19	1	27
74	6	5	4	2	6	7	2	4
75	6	6	4	2	6	3	2	4
76	10	28	30	3	18	1	23	26
77	3	43	31	33	8	3	5	11
78	17	44	26	13	11	13	11	3
79	23	9	8	12	9	11	3	13
80	28	9	32	20	14	32	11	11
81	11	35	4	25	25	31	18	20
82	15	21	13	32	2	17	21	28
83	11	3	4	3	15	1	4	16
84	29	2	3	3	7	1	4	2
85	3	8	5	3	8	3	5	3
86	24	31	4	26	16	29	2	2
87	7	33	18	2	5	8	2	2
88	32	47	4	10	16	7	4	5
89	33	47	4	10	5	8	2	30
90	4	13	10	4	2	4	1	6
91	14	48	34	38	2	2	27	31
92	17	49	35	12	14	35	28	32
93	34	50	36	35	27	34	25	33
94	35	52	38	39	28	36	29	35
95	36	53	39	40	29	37	30	36
96	37	54	40	41	30	38	31	37
97	1	51	37	31	2	2	3	34
98	38	55	41	42	28	39	20	38
99	39	56	42	11	31	12	32	37
100	40	57	43	43	32	40	33	39
101	41	58	44	44	33	41	34	40
102	1	59	10	8	2	42	35	41
103	42	60	41	45	34	43	36	40
104	43	61	45	46	28	37	29	42
105	34	62	36	19	27	44	37	43
106	44	63	46	15	2	45	38	1
107	35	64	47	47	35	46	39	44
108	25	65	48	10	16	8	2	2
109	42	66	49	48	23	47	39	45
110	35	67	38	49	28	48	40	46
111	45	68	50	50	36	49	41	3
112	46	69	51	47	37	50	42	47
113	35	52	38	39	38	51	43	48
114	23	70	52	51	39	52	44	49
115	47	71	3	26	16	53	2	50
116	48	3	3	52	40	7	2	50
117	5	47	3	10	6	7	4	2
118	25	65	48	10	16	8	2	51
119	11	72	4	53	41	54	18	20
120	49	41	53	54	42	55	45	52
121	9	20	15	7	4	9	6	53
122	2	73	2	55	43	18	46	1
123	1	74	54	15	2	15	10	54
124	25	3	4	2	16	56	47	4
125	10	2	4	3	18	1	4	23
126	50	75	3	10	16	8	48	55
127	51	1	55	4	2	2	3	6
128	52	76	6	31	2	5	3	56
129	4	77	10	5	2	4	1	6
130	25	3	4	10	6	57	4	2
131	2	65	3	10	26	7	4	57
132	10	2	7	3	7	1	4	2
133	5	37	4	52	44	7	4	2
134	53	15	10	5	2	4	1	6
135	5	47	4	56	6	29	2	58
136	18	78	27	11	8	12	13	11
137	25	65	48	10	16	58	4	2
138	54	79	56	57	45	59	49	46
139	32	47	4	10	5	7	4	50
140	8	80	7	3	46	1	50	2
141	2	24	1	58	2	20	1	6
142	4	20	2	4	47	2	1	8
143	2	4	6	4	1	6	1	59
144	1	74	57	59	48	18	1	60
145	2	11	58	60	10	15	10	12
146	1	1	59	1	1	2	3	1
147	6	81	4	61	49	7	2	4
148	6	81	3	61	49	7	2	61
149	55	20	2	4	47	2	1	62
150	2	1	6	4	2	6	1	1
151	25	47	4	56	50	53	2	2
152	1	7	1	58	51	60	51	63
153	8	2	7	3	52	1	4	2
154	23	82	1	12	53	2	1	13
155	10	2	7	3	7	1	4	64
156	25	65	61	62	26	53	52	65
157	6	83	3	63	54	62	53	4
158	5	84	4	3	55	1	54	66
159	6	6	4	61	6	7	2	4
160	8	2	7	64	7	1	4	2
161	18	8	63	20	56	63	56	32
162	9	1	15	65	57	9	6	9
163	8	85	7	3	58	1	57	2
164	8	2	7	3	59	1	4	2
165	8	86	7	3	7	1	4	2
166	1	26	9	86	2	10	1	7
167	10	87	7	3	18	1	4	2
168	10	2	3	17	18	1	4	67
169	10	28	7	3	18	1	4	23
170	10	2	7	3	61	1	57	2
171	8	2	7	66	59	1	4	2
172	10	88	7	3	7	1	59	2
173	10	29	7	3	7	1	60	2
174	10	28	7	67	18	1	4	23
175	10	3	7	3	18	1	4	23
176	58	28	3	17	16	1	4	4
177	8	90	7	3	7	1	4	2
178	25	3	3	10	26	29	2	2
179	25	92	3	10	26	29	62	2
180	25	93	3	10	6	64	57	68
181	25	47	48	68	5	29	109	2
182	8	2	7	3	7	65	4	2
183	25	47	48	68	5	29	64	2
184	5	47	48	68	63	29	63	2
185	5	47	48	68	5	29	63	2
186	7	33	18	68	5	8	2	2
187	59	95	66	63	64	66	86	69
188	10	2	3	69	18	1	4	23
189	31	46	17	12	12	67	26	70
190	35	42	67	70	38	36	139	71
191	8	2	7	3	61	1	4	2
192	17	96	112	71	66	12	13	32
193	60	91	4	10	67	7	4	2
194	18	12	17	14	68	68	67	14
195	17	9	28	3	9	13	9	72
196	2	4	6	72	1	6	1	1
197	2	1	6	4	1	6	1	1
198	4	19	1	73	2	2	1	1
199	2	4	70	4	1	6	1	1
200	2	4	6	74	1	6	1	1
201	2	4	6	74	70	6	1	1
202	2	3	4	68	71	57	4	2
203	4	19	1	6	72	2	1	1
204	4	19	71	6	73	2	1	1
205	2	15	72	31	2	20	1	73
206	1	23	73	55	74	18	46	1
207	16	99	74	76	75	9	6	74
208	16	100	3	76	76	69	62	74
209	25	65	3	26	78	53	2	2
210	10	2	7	3	61	1	4	2
211	6	5	75	2	6	28	62	4
212	25	65	3	78	78	28	62	2
213	25	34	4	23	6	7	62	23
214	8	2	7	79	59	1	57	2
215	61	2	7	3	7	1	4	2
216	1	51	76	31	2	2	3	34
217	1	102	77	31	2	70	3	31
218	62	26	9	8	2	10	1	7
219	1	7	1	80	79	20	1	63
220	4	18	10	5	2	71	1	6
221	16	1	16	81	4	72	1	75
222	14	26	14	82	2	73	70	76
223	4	15	10	5	2	74	1	6
224	1	26	2	28	1	18	6	8
225	63	26	2	28	1	18	1	8
226	4	19	1	6	2	2	71	1
227	5	65	4	10	26	1	4	77
228	10	91	4	83	80	75	4	78
229	6	5	4	2	6	7	73	4
230	10	2	3	17	18	1	158	40
231	32	105	3	10	83	8	75	5
232	5	3	4	52	84	1	54	66
233	9	1	15	7	4	9	76	9
234	6	5	4	2	85	7	2	4
235	23	9	8	12	9	11	77	13
236	17	9	79	12	87	13	9	11
237	5	47	80	68	88	29	78	2
238	11	3	4	3	15	78	2	16
239	65	84	81	19	12	80	81	80
240	66	106	82	87	12	81	82	81
241	6	5	83	2	90	82	83	4
242	5	107	84	26	91	1	84	82
243	7	33	18	2	63	8	88	2
244	5	111	62	10	16	7	55	2
245	5	3	4	52	96	1	4	66
246	5	3	4	52	96	1	54	66
247	5	112	48	10	5	86	4	50
248	24	31	4	26	26	29	2	2
249	69	3	4	52	97	31	18	20
250	22	41	21	3	23	87	89	18
251	31	113	24	36	98	24	90	70
252	12	40	24	19	13	24	90	29
253	31	46	24	36	12	67	90	70
254	31	46	24	36	12	67	26	70
255	59	114	89	11	99	3	5	3
256	64	10	90	85	100	88	91	11
257	17	9	28	12	9	13	9	84
258	24	31	4	26	50	29	62	2
259	68	116	88	63	102	1	86	83
260	10	117	3	18	103	89	4	2
261	1	25	9	86	2	10	1	7
262	8	118	7	3	7	1	4	2
263	68	110	88	63	93	84	86	85
264	68	110	91	63	93	84	86	85
265	5	3	4	52	104	1	92	66
266	5	47	48	10	5	86	4	50
267	9	1	15	65	4	9	6	9
268	5	3	4	10	105	90	2	86
269	8	103	7	84	81	1	72	2
270	6	119	4	2	82	76	74	4
271	64	10	78	85	86	77	93	11
272	12	120	92	88	106	91	94	3
273	56	49	60	11	11	61	10	3
274	8	121	7	3	89	1	79	2
275	8	2	7	3	107	79	80	79
276	5	3	4	52	108	1	95	66
277	5	122	85	56	6	29	96	58
278	5	47	4	52	109	29	53	58
279	5	108	4	10	26	83	2	2
280	50	123	3	10	110	8	97	55
281	67	124	86	30	111	92	1	6
282	67	109	86	30	92	93	1	6
283	68	110	87	63	93	84	85	83
284	59	110	88	63	93	94	86	83
285	8	2	7	52	112	95	4	2
286	5	3	88	52	95	85	4	66
287	10	2	94	3	113	1	98	64
288	47	47	3	52	26	53	87	2
289	5	125	4	52	78	90	99	86
290	47	47	3	10	78	57	4	5
291	68	110	88	63	93	84	86	87
292	16	1	16	30	4	182	6	27
293	10	127	96	63	115	1	101	2
294	25	3	3	10	78	29	2	57
295	17	9	28	90	9	97	9	11
296	68	110	91	63	93	84	86	83
297	50	47	3	10	5	29	2	88
298	4	128	97	31	116	98	102	8
299	17	12	26	13	117	13	11	3
300	1	129	2	59	2	18	1	60
301	38	130	98	91	118	99	103	89
302	50	47	3	2	5	7	4	55
303	25	3	48	10	26	57	4	90
304	1	23	73	55	43	18	46	1
305	22	41	21	92	23	23	20	18
306	7	3	3	10	74	7	4	5
307	1	26	6	4	2	4	104	8
308	16	131	74	76	75	9	6	74
309	71	39	99	93	119	100	105	91
310	50	47	3	10	5	8	2	30
311	10	2	100	3	60	1	4	92
312	72	67	38	70	28	101	43	35
313	4	23	1	31	2	102	106	93
314	50	75	4	10	16	8	2	55
315	4	132	9	38	120	2	3	8
316	17	133	101	94	8	103	107	94
317	6	75	3	10	16	8	2	2
318	73	134	102	95	4	72	1	74
319	73	135	102	76	121	72	1	95
320	51	136	55	4	21	2	3	6
321	1	137	103	8	2	104	46	1
322	74	138	104	55	43	105	1	8
323	32	65	4	10	5	8	2	5
324	2	139	10	4	21	2	3	8
325	32	47	48	10	74	8	2	65
326	60	140	105	52	84	8	4	96
327	75	3	4	52	84	1	4	66
328	5	141	4	10	6	1	4	2
329	76	142	41	54	122	106	36	40
330	56	143	52	96	14	107	9	97
331	1	1	2	97	1	2	3	1
332	77	33	18	2	5	28	2	2
333	78	2	7	3	7	1	4	98
334	3	144	31	33	8	3	5	11
335	79	145	7	3	7	1	4	2
336	1	146	1	1	2	32	27	99
337	80	147	31	98	123	12	13	3
338	24	3	3	26	16	108	4	2
339	5	65	3	26	6	7	4	55
340	38	145	106	54	42	55	45	100
341	11	3	4	52	25	31	18	20
342	10	148	3	3	7	1	4	2
343	11	2	7	83	18	1	4	101
344	58	28	3	99	16	1	4	4
345	11	2	3	100	7	1	4	101
346	8	149	7	3	7	1	4	2
347	81	87	7	3	18	1	4	102
348	5	47	4	2	26	1	4	2
349	25	3	62	52	16	1	4	2
350	32	150	3	10	5	8	2	50
351	50	151	3	2	5	7	4	55
352	2	23	73	55	43	18	46	1
353	11	3	4	3	15	1	4	40
354	1	25	9	8	124	10	1	7
355	25	3	107	10	71	109	2	57
356	10	29	7	101	7	1	4	2
357	5	47	4	10	26	1	4	2
358	35	152	67	39	38	110	108	35
359	82	3	3	10	125	111	2	2
360	5	3	4	10	71	7	4	5
361	25	153	62	52	16	1	4	2
362	50	47	3	102	5	7	4	103
363	50	65	3	2	5	111	2	2
364	32	3	108	10	5	8	2	65
365	8	2	7	103	7	1	4	2
366	5	47	48	68	5	29	109	2
367	8	104	7	3	7	1	4	2
368	50	47	3	10	5	7	4	103
369	6	6	4	2	126	7	2	4
370	5	154	4	2	74	7	2	2
371	83	28	109	3	18	1	110	40
372	10	28	3	104	18	1	4	2
373	1	1	1	1	1	2	3	1
374	5	3	3	26	5	1	111	5
375	2	48	73	82	127	18	46	1
376	84	3	4	56	78	112	4	2
377	8	155	7	3	22	1	4	2
378	58	156	110	17	16	31	112	40
379	6	6	4	105	6	7	2	104
380	64	10	90	85	128	88	91	11
381	8	2	7	3	7	113	4	2
382	10	2	7	3	60	114	4	2
383	57	2	7	106	60	1	4	23
384	15	21	13	32	129	17	21	28
385	4	157	58	15	10	45	113	12
386	85	158	111	107	130	115	114	105
387	86	2	7	3	60	1	4	23
388	25	3	3	108	78	1	4	2
389	10	159	3	25	18	1	4	2
390	8	2	7	3	131	1	4	2
391	19	9	25	109	9	22	10	106
392	4	20	6	110	132	98	102	8
393	47	71	3	26	133	53	2	50
394	5	3	4	10	84	57	4	5
395	87	75	3	111	16	116	4	2
396	5	160	3	56	78	7	4	2
397	32	65	3	10	16	7	4	5
398	10	2	3	17	18	1	4	22
399	32	47	3	10	78	8	2	2
400	2	18	72	31	2	20	1	73
401	10	2	7	101	7	117	4	2
402	32	3	3	10	16	1	2	107
403	18	8	112	11	8	12	13	108
404	88	161	74	112	4	19	1	27
405	10	149	4	3	7	118	4	2
406	17	9	28	17	9	13	9	11
407	89	2	7	3	7	1	4	2
408	90	91	4	10	67	7	4	2
409	39	162	113	113	134	12	12	109
410	5	37	4	52	44	119	4	2
411	35	163	21	114	135	120	115	42
412	11	3	114	3	15	1	4	16
413	25	47	48	2	74	1	2	50
414	7	164	18	2	5	8	2	2
415	2	3	3	10	5	8	2	5
416	19	12	52	50	136	13	11	108
417	4	11	58	15	10	45	113	12
418	1	1	2	115	1	2	3	1
419	8	28	7	17	7	1	4	2
420	60	3	3	26	16	121	116	110
421	91	165	48	116	16	8	117	111
422	18	8	112	94	66	3	5	108
423	92	166	2	117	21	4	13	108
424	93	167	1	116	2	102	118	111
425	85	168	115	107	137	122	119	112
426	93	169	2	118	138	4	120	111
427	32	170	48	119	16	7	4	113
428	94	171	7	120	138	123	120	111
429	8	2	7	3	131	123	4	2
430	50	47	3	10	19	8	2	114
431	25	172	48	10	26	57	4	90
432	5	65	18	26	6	8	4	55
433	95	173	116	121	142	124	121	115
434	69	174	4	52	25	31	18	20
435	96	175	117	122	139	125	122	116
436	97	176	98	123	28	126	115	40
437	8	2	4	3	7	1	4	2
438	79	177	7	3	7	1	4	2
439	29	2	3	124	7	1	4	2
440	10	2	118	52	7	1	4	2
441	50	3	3	10	78	8	2	2
442	47	3	3	52	16	57	4	2
443	93	171	3	116	140	7	120	117
444	93	171	4	116	140	7	120	117
445	98	178	4	125	141	127	123	118
446	10	2	3	3	7	1	4	2
447	18	8	112	11	8	12	120	108
448	1	1	55	170	181	183	102	56
449	12	40	24	19	13	24	159	165
450	24	3	3	10	16	108	4	2
451	72	67	38	70	42	101	43	35
452	17	8	52	71	66	12	13	3
453	1	4	2	1	1	2	3	1
454	1	14	9	8	2	10	1	7
455	2	26	12	1	3	5	3	8
456	10	265	3	3	18	1	4	23
457	72	264	38	171	28	187	160	42
458	9	1	15	7	4	188	6	9
459	32	266	21	172	16	189	2	2
460	22	61	21	109	23	41	127	164
461	25	47	10	10	16	57	4	50
462	60	47	4	10	84	1	16	4
463	101	189	122	132	149	130	130	124
464	80	190	31	22	150	12	13	3
465	23	19	1	12	53	2	1	13
466	10	2	7	3	60	1	4	2
467	59	95	66	63	94	132	87	69
468	5	3	4	52	16	133	2	2
469	5	3	62	52	16	1	4	2
470	102	7	1	9	2	20	1	6
471	6	6	4	2	154	7	2	4
472	30	45	33	37	27	34	24	9
473	30	45	33	35	27	34	24	13
474	18	193	17	14	14	14	14	14
475	10	2	7	3	60	1	4	23
476	9	1	15	7	182	9	6	9
477	17	9	28	12	9	135	9	11
478	8	2	7	84	7	1	4	2
479	5	37	4	10	78	8	2	30
480	5	3	4	52	95	1	4	66
481	5	3	4	52	84	1	4	66
482	5	47	4	56	109	29	2	58
483	21	3	3	133	16	31	134	2
484	10	28	7	18	18	1	4	167
485	41	3	4	25	25	31	18	20
486	10	2	3	3	166	1	4	2
487	25	123	3	10	26	53	4	65
488	32	47	48	68	78	8	2	55
489	58	87	7	3	18	1	4	102
490	1	26	12	1	3	5	3	8
491	67	124	86	30	92	92	1	6
492	10	2	3	18	18	1	4	23
493	66	3	4	52	84	1	4	66
494	18	8	124	20	66	136	56	32
495	8	6	4	3	7	1	4	4
496	23	1	15	12	9	11	7	9
497	30	195	11	37	27	34	24	125
498	17	1	15	12	9	13	9	9
499	103	196	7	3	16	1	4	126
500	8	2	4	3	7	1	4	20
501	32	47	3	10	78	190	2	50
502	6	47	4	10	78	137	4	30
503	2	198	6	4	1	6	1	1
504	1	14	2	31	21	4	7	7
505	58	199	110	17	16	31	112	2
506	9	134	74	134	4	72	1	9
507	45	200	126	14	156	138	136	127
508	104	47	3	10	78	8	2	65
509	1	201	72	1	2	20	1	128
510	1	197	125	82	2	20	1	1
511	18	8	112	20	66	136	56	32
512	25	37	4	10	84	7	4	2
513	2	47	3	52	16	57	4	50
514	4	19	110	6	2	2	1	1
515	9	1	48	7	4	9	6	9
516	8	2	7	3	7	20	4	1
517	47	202	3	26	16	53	2	50
518	88	201	127	76	4	72	1	9
519	102	23	6	4	2	6	1	1
520	10	28	7	17	157	1	4	2
521	1	197	125	82	2	20	137	1
522	6	3	3	25	6	7	135	2
523	59	110	66	63	55	139	86	69
524	25	47	108	56	16	29	2	50
525	3	8	27	11	8	3	5	11
526	7	33	18	2	63	28	2	2
527	9	20	15	7	4	9	6	129
528	22	203	21	92	23	23	20	18
529	87	205	18	10	78	8	2	30
530	10	29	7	3	7	140	4	2
531	1	136	2	31	21	4	1	2
532	11	206	30	3	78	1	4	23
533	22	41	21	3	23	23	20	18
534	7	207	48	10	16	8	2	2
535	23	9	17	135	9	11	7	13
536	22	41	21	92	23	141	20	18
537	32	3	3	10	5	8	2	5
538	64	204	129	21	30	12	138	11
539	2	11	23	136	10	15	10	12
540	105	42	130	137	38	36	139	35
541	106	142	128	138	158	23	20	40
542	1	23	125	1	2	20	1	1
543	7	37	3	10	26	8	2	2
544	21	34	3	23	6	1	15	5
545	21	34	3	23	6	1	15	2
546	25	3	107	10	71	29	2	57
547	25	3	107	10	71	133	2	57
548	25	3	107	25	71	29	2	57
549	32	47	51	59	78	8	2	2
550	32	65	4	10	5	29	2	5
551	50	47	48	10	28	7	4	30
552	50	65	3	10	16	8	48	55
553	59	95	66	63	55	66	86	69
554	83	28	4	3	18	1	110	40
555	25	213	107	10	71	29	2	57
556	109	47	4	52	6	29	2	58
557	110	23	125	1	2	20	1	1
558	21	34	3	23	6	1	140	2
559	112	136	73	82	127	18	46	1
560	60	47	133	10	84	108	16	4
561	97	219	98	123	28	126	115	40
562	113	220	136	139	25	146	141	131
563	11	72	134	52	25	145	18	2
564	11	72	135	52	25	145	18	2
565	11	72	135	52	25	145	18	132
566	9	1	74	134	4	72	1	9
567	9	20	74	134	4	72	1	9
568	9	1	74	7	4	9	6	9
569	10	28	4	3	18	1	4	133
570	5	47	4	56	6	147	2	58
571	4	211	132	141	92	142	1	6
572	1	129	137	59	2	18	1	60
573	4	211	132	140	92	142	1	6
574	107	221	2	59	2	18	1	60
575	60	47	4	10	84	150	16	4
576	32	3	3	10	159	8	2	134
577	5	208	138	56	6	29	2	135
578	108	209	4	142	6	7	62	2
579	4	210	131	1	31	148	1	130
580	4	211	132	140	92	142	1	136
581	4	212	86	82	2	143	142	137
582	32	47	48	10	74	8	2	138
583	1	214	2	59	2	18	1	140
584	1	222	37	143	2	143	1	60
585	111	23	86	30	2	149	143	6
586	4	197	1	4	2	20	1	141
587	1	215	1	144	2	144	46	142
588	111	23	86	145	2	149	143	6
589	1	216	2	59	2	18	1	140
590	1	217	37	143	2	143	1	60
591	21	218	3	146	160	1	4	2
592	50	75	3	10	16	8	144	55
593	83	104	18	2	5	108	2	2
594	31	195	11	36	27	67	26	125
595	25	223	107	52	71	29	2	57
596	50	225	3	26	6	8	2	55
597	64	226	40	11	161	16	12	109
598	65	224	139	19	12	24	145	80
599	30	45	33	10	27	34	24	2
600	1	228	34	82	47	2	27	139
601	91	165	141	116	16	8	117	111
602	92	166	143	117	21	4	13	108
603	93	169	141	118	138	152	120	111
604	93	167	141	116	2	102	118	111
605	93	188	141	116	148	154	120	111
606	93	180	143	127	138	155	120	119
607	93	180	141	118	138	152	120	111
608	93	180	141	118	16	108	120	111
609	93	231	141	149	163	152	147	111
610	93	171	145	150	138	158	120	111
611	93	171	141	116	140	7	120	117
612	93	182	141	129	164	160	120	111
613	94	171	144	120	138	123	120	111
614	95	173	116	121	142	156	121	115
615	98	178	122	125	141	127	123	118
616	99	181	120	128	144	157	125	120
617	100	187	142	131	148	131	129	123
618	114	166	141	55	138	152	120	143
619	115	230	122	148	162	130	146	144
620	4	13	1	6	2	2	1	1
621	9	234	15	7	4	9	6	9
622	116	186	122	130	147	130	128	122
623	2	4	6	4	1	161	1	1
624	2	4	6	4	165	21	1	1
625	9	134	74	134	4	162	1	9
626	2	77	1	9	2	20	148	6
627	9	134	74	31	4	72	1	9
628	59	110	88	63	93	84	86	83
629	8	235	7	3	7	1	4	2
630	117	12	52	50	136	97	11	11
631	31	195	11	35	27	1	26	125
632	25	65	4	10	16	8	2	30
633	1	1	2	1	1	2	1	1
634	118	236	16	30	4	163	1	27
635	5	3	3	3	5	1	2	5
636	7	3	3	68	74	7	4	5
637	10	148	3	3	18	1	4	23
638	8	28	7	3	7	1	4	2
639	8	2	7	3	7	1	149	2
640	8	2	2	84	7	1	4	146
641	2	237	23	15	10	15	10	12
642	32	238	4	18	16	7	4	5
643	10	3	147	83	41	1	4	78
644	4	28	3	152	18	1	4	2
645	8	239	7	3	7	1	4	2
646	10	2	48	3	166	1	4	2
647	10	2	7	3	18	1	4	23
648	8	240	7	3	7	1	4	2
649	119	3	4	10	78	29	2	5
650	11	196	148	17	18	164	4	147
651	17	6	4	12	154	7	2	4
652	10	2	149	17	18	1	4	10
653	120	241	150	153	167	165	150	148
654	121	37	3	10	5	7	4	65
655	122	15	10	5	2	4	1	6
656	16	242	16	30	2	19	1	24
657	19	12	52	50	136	13	11	149
658	4	243	1	154	2	98	102	1
659	8	2	7	3	7	1	14	2
660	3	15	4	11	8	3	5	3
661	83	28	110	3	18	1	110	40
662	30	45	33	37	27	34	24	4
663	11	2	7	100	16	1	4	40
664	8	2	7	3	7	1	4	79
665	18	12	17	14	4	14	4	14
666	25	65	3	10	26	53	4	65
667	5	2	151	52	18	1	4	22
668	93	244	141	147	168	152	120	143
669	93	166	141	155	138	166	120	111
670	123	245	117	156	169	167	151	150
671	124	247	153	158	171	169	153	153
672	125	251	156	162	174	172	150	151
673	35	267	38	173	38	191	161	35
674	8	28	7	3	7	1	4	65
675	126	248	117	159	172	170	154	154
676	127	249	154	160	173	171	155	155
677	124	250	155	161	171	169	153	153
678	64	252	129	21	175	12	138	11
679	10	2	3	163	18	1	4	22
680	128	2	7	84	7	1	4	2
681	10	2	3	3	166	173	4	2
682	83	28	4	3	18	1	110	156
683	18	8	15	20	66	136	56	32
684	58	156	110	17	18	31	120	40
685	1	1	15	7	2	9	6	9
686	129	19	1	6	2	2	1	1
687	58	2	7	17	7	1	4	2
688	9	134	74	164	4	72	1	9
689	31	195	11	35	27	67	26	152
690	9	1	1	7	4	9	6	9
691	2	1	15	7	4	9	6	9
692	6	6	4	3	154	7	2	4
693	11	2	3	3	7	1	4	2
694	1	253	2	1	1	2	3	1
695	31	254	24	36	12	67	26	10
696	25	3	107	10	176	29	2	57
697	13	39	11	16	177	25	8	19
698	10	2	3	17	18	1	4	2
699	119	91	4	10	78	29	2	5
700	1	128	103	4	2	2	1	157
701	34	62	157	35	27	174	156	43
702	2	77	1	9	2	20	1	6
703	8	2	7	3	7	1	4	159
704	17	9	28	12	9	175	9	11
705	2	15	1	165	2	20	1	6
706	2	259	23	15	10	15	10	12
707	6	260	3	2	6	7	2	4
708	6	6	4	166	6	7	2	4
709	6	5	4	2	6	7	2	161
710	19	258	159	11	136	13	11	108
711	130	99	158	55	43	18	46	1
712	73	255	102	95	4	72	1	74
713	25	256	3	2	16	7	2	160
714	131	257	3	3	16	31	4	158
715	10	28	3	17	16	1	4	40
716	10	28	3	152	18	1	4	2
717	6	5	3	99	6	7	2	4
718	10	2	3	52	7	1	4	2
719	19	9	28	12	9	13	9	11
720	30	11	23	15	10	15	10	12
721	30	45	33	37	27	34	24	2
722	64	204	129	21	175	12	138	11
723	11	206	30	3	2	1	4	23
724	30	45	33	35	27	34	24	2
725	1	74	2	59	2	18	1	60
726	25	65	3	10	16	8	2	30
727	17	9	28	90	9	135	9	11
728	12	40	24	19	13	24	8	3
729	9	20	4	7	4	9	6	9
730	5	37	4	10	16	8	2	2
731	30	45	33	35	27	34	25	2
732	14	14	14	82	2	4	1	15
733	5	37	4	10	78	8	2	65
734	17	9	15	12	9	135	9	11
735	50	160	3	10	5	57	4	5
736	10	2	3	167	18	1	4	67
737	23	9	17	135	9	176	7	13
738	6	6	4	166	6	177	2	4
739	7	37	4	10	26	7	4	162
740	8	261	101	94	8	103	107	3
741	8	262	7	3	7	1	4	2
742	25	3	160	168	16	178	157	163
743	16	1	161	81	4	72	1	75
744	25	174	3	10	5	179	2	57
745	16	1	74	134	4	180	6	9
746	132	65	3	10	26	53	4	65
747	133	41	47	169	178	23	20	164
748	25	65	3	10	180	53	4	65
749	25	65	48	10	179	8	2	2
750	8	2	7	3	7	1	4	65
751	1	129	2	174	2	18	1	60
752	50	123	3	10	16	8	2	166
753	10	2	3	25	17	1	4	22
754	25	65	48	10	74	8	2	2
755	5	65	4	52	16	57	4	2
756	8	29	7	3	7	1	4	2
757	31	46	24	36	12	67	26	10
758	50	3	3	10	191	57	4	5
759	23	9	17	17	9	176	177	13
760	8	2	7	179	7	1	4	2
761	12	40	24	178	13	24	26	3
762	14	14	171	28	1	4	1	15
763	2	124	170	31	43	20	37	7
764	6	6	4	176	6	7	2	168
765	6	272	4	176	6	7	2	168
766	6	273	4	176	6	7	2	168
767	135	2	7	3	7	1	4	2
768	12	271	24	178	13	24	26	3
769	30	270	33	19	187	194	82	171
770	8	2	7	3	186	1	4	65
771	3	263	5	11	8	181	5	3
772	10	2	167	3	185	1	4	2
773	106	41	128	138	158	202	178	38
774	8	2	7	3	7	1	179	2
